,job_title,department,salary,Join Date
83,CROSSING GUARD,POLICE,$16525.6,2000-03-03 00:00:00
84,POLICE OFFICER,POLICE,$80724.0,2000-07-11 00:00:00
85,POLICE OFFICER,POLICE,$78012.0,2000-11-26 00:00:00
86,LIBRARY ASSOCIATE,PUBLIC LIBRARY,$62916.0,2000-08-03 00:00:00
87,POLICE OFFICER,POLICE,$80724.0,2000-11-15 00:00:00
88,SANITATION LABORER,STREETS & SAN,$70969.6,2000-10-06 00:00:00
89,PARKING ENFORCEMENT AIDE,AVIATION,$55248.0,2000-04-06 00:00:00
90,CONSTRUCTION LABORER,GENERAL SERVICES,$76960.0,2000-08-13 00:00:00
91,POLICE OFFICER,POLICE,$71748.0,2000-04-14 00:00:00
92,ASST CORPORATION COUNSEL,LAW,$70380.0,2000-01-24 00:00:00
93,POLICE OFFICER,POLICE,$78012.0,2000-08-16 00:00:00
94,SANITATION LABORER,STREETS & SAN,$70969.6,2000-11-22 00:00:00
95,BOOTER - PARKING,FINANCE,$63440.0,2000-07-13 00:00:00
96,FIREFIGHTER,FIRE,$83982.0,2000-02-09 00:00:00
97,CUSTODIAL WORKER,AVIATION,$41537.6,2000-11-26 00:00:00
98,POLICE OFFICER,POLICE,$78012.0,2000-02-22 00:00:00
99,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-06-11 00:00:00
100,PARAMEDIC I/C,FIRE,$81672.0,2000-01-16 00:00:00
101,MOTOR TRUCK DRIVER,TRANSPORTN,$70408.0,2000-08-18 00:00:00
102,POLICE OFFICER,POLICE,$86130.0,2000-10-19 00:00:00
103,FIREFIGHTER-EMT,FIRE,$79140.0,2000-03-19 00:00:00
104,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-09-04 00:00:00
105,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,$74276.8,2000-11-03 00:00:00
106,POLICE OFFICER,POLICE,$83706.0,2000-02-06 00:00:00
107,POLICE OFFICER,POLICE,$80724.0,2000-10-04 00:00:00
108,SPECIAL EVENTS COORD III,CULTURAL AFFAIRS,$77280.0,2000-08-19 00:00:00
109,LIBRARIAN I - HOURLY,PUBLIC LIBRARY,$26041.6,2000-01-18 00:00:00
110,PROGRAM DEVELOPMENT COORD,HEALTH,$54492.0,2000-12-16 00:00:00
111,CLINICAL THERAPIST III,POLICE,$91224.0,2000-08-21 00:00:00
112,POLICE OFFICER,POLICE,$75372.0,2000-06-21 00:00:00
113,CROSSING GUARD,POLICE,$18148.0,2000-08-17 00:00:00
114,ASPHALT LABORER,TRANSPORTN,$76960.0,2000-11-20 00:00:00
115,DATA ENTRY OPERATOR,WATER MGMNT,$45828.0,2000-10-23 00:00:00
116,SANITATION LABORER,STREETS & SAN,$70969.6,2000-01-24 00:00:00
117,AVIATION SECURITY OFFICER,AVIATION,$60648.0,2000-09-21 00:00:00
118,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,$66492.0,2000-11-14 00:00:00
119,CONCRETE LABORER,TRANSPORTN,$76960.0,2000-06-09 00:00:00
120,POLICE OFFICER,POLICE,$83706.0,2000-09-05 00:00:00
121,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-07-13 00:00:00
122,POLICE OFFICER,POLICE,$80724.0,2000-05-18 00:00:00
123,FIREFIGHTER-EMT,FIRE,$79140.0,2000-09-01 00:00:00
124,POLICE OFFICER,POLICE,$78012.0,2000-08-24 00:00:00
125,POLICE OFFICER,POLICE,$65016.0,2000-04-27 00:00:00
126,ACCOUNTING TECHNICIAN II,COMMUNITY DEVELOPMENT,$57828.0,2000-06-20 00:00:00
127,LIBRARY PAGE,PUBLIC LIBRARY,$11627.2,2000-11-07 00:00:00
128,ELECTRICAL MECHANIC,GENERAL SERVICES,$89440.0,2000-07-16 00:00:00
129,PROPERTY CUSTODIAN,POLICE,$60600.0,2000-12-20 00:00:00
130,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-07-04 00:00:00
131,WATCHMAN,GENERAL SERVICES,$43097.6,2000-02-18 00:00:00
132,LEGAL SECRETARY,LAW,$72936.0,2000-04-14 00:00:00
133,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-11-08 00:00:00
134,INFORMATION COORD,HEALTH,$63516.0,2000-09-16 00:00:00
135,LIEUTENANT-EMT,FIRE,$101484.0,2000-04-28 00:00:00
136,PLUMBING INSPECTOR,BUILDINGS,$98028.0,2000-04-18 00:00:00
137,VENTILATION AND FURNACE INSPECTOR,BUILDINGS,$92580.84,2000-05-19 00:00:00
138,POLICE OFFICER,POLICE,$71748.0,2000-04-09 00:00:00
139,LIBRARIAN IV,PUBLIC LIBRARY,$82812.0,2000-01-06 00:00:00
140,SUPVSR OF COMPENSATION,BUSINESS AFFAIRS,$88812.0,2000-12-17 00:00:00
141,CIVIL ENGINEER IV,TRANSPORTN,$99648.0,2000-05-19 00:00:00
142,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,$66492.0,2000-01-16 00:00:00
143,POLICE OFFICER,POLICE,$80724.0,2000-04-07 00:00:00
144,POLICE OFFICER,POLICE,$78012.0,2000-01-13 00:00:00
145,LIEUTENANT-EMT,FIRE,$108132.0,2000-10-13 00:00:00
146,ACCOUNTING TECHNICIAN I,FINANCE,$52740.0,2000-10-07 00:00:00
147,POLICE OFFICER,POLICE,$78012.0,2000-02-05 00:00:00
148,FOREMAN OF WINDOW WASHERS,AVIATION,$46134.4,2000-07-09 00:00:00
149,CONCRETE LABORER,TRANSPORTN,$76960.0,2000-08-10 00:00:00
150,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,$15215.2,2000-08-14 00:00:00
151,LIBRARY ASSOCIATE,PUBLIC LIBRARY,$62916.0,2000-08-10 00:00:00
152,LIEUTENANT,POLICE,$119076.0,2000-11-10 00:00:00
153,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,$105024.0,2000-04-17 00:00:00
154,POLICE OFFICER,POLICE,$80724.0,2000-08-05 00:00:00
155,SERGEANT,POLICE,$109278.0,2000-06-10 00:00:00
156,POLICE OFFICER,POLICE,$71748.0,2000-05-28 00:00:00
157,SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL,HEALTH,$70380.0,2000-12-27 00:00:00
158,POLICE OFFICER,POLICE,$78012.0,2000-09-05 00:00:00
159,DEPUTY COMMISSIONER,BUSINESS AFFAIRS,$116688.0,2000-09-17 00:00:00
160,LEGISLATIVE AIDE,CITY COUNCIL,$18999.96,2000-01-23 00:00:00
161,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-08-04 00:00:00
162,ACCOUNTANT IV,FINANCE,$91224.0,2000-10-17 00:00:00
163,ENVIRONMENTAL ENGINEER II,HEALTH,$91224.0,2000-04-21 00:00:00
164,CIVIL ENGINEER III,TRANSPORTN,$91224.0,2000-11-26 00:00:00
165,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,$63456.0,2000-09-26 00:00:00
166,MANAGER OF CERTIFICATION / COMPLIANCE,PROCUREMENT,$85872.0,2000-10-17 00:00:00
167,LAW CLERK,LAW,$25152.4,2000-06-17 00:00:00
168,POLICE COMMUNICATIONS OPERATOR I,OEMC,$73032.0,2000-12-16 00:00:00
169,POLICE OFFICER,POLICE,$83706.0,2000-12-26 00:00:00
170,FIRE COMMUNICATIONS OPERATOR II,OEMC,$90202.68,2000-08-26 00:00:00
171,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,$23628.8,2000-08-27 00:00:00
172,POLICE OFFICER,POLICE,$75372.0,2000-11-24 00:00:00
173,POLICE OFFICER,POLICE,$80724.0,2000-03-05 00:00:00
174,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,$63456.0,2000-08-12 00:00:00
175,POLICE OFFICER,POLICE,$83706.0,2000-03-25 00:00:00
176,POLICE OFFICER,POLICE,$83706.0,2000-03-14 00:00:00
177,FIRE ENGINEER-EMT,FIRE,$91740.0,2000-01-06 00:00:00
178,SERGEANT,POLICE,$105864.0,2000-11-10 00:00:00
179,ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,$115224.0,2000-03-12 00:00:00
180,POLICE OFFICER,POLICE,$80724.0,2000-05-23 00:00:00
181,INQUIRY AIDE III,STREETS & SAN,$50280.0,2000-01-07 00:00:00
182,COORDINATING ENGINEER I,WATER MGMNT,$103740.0,2000-12-04 00:00:00
183,POLICE OFFICER,POLICE,$75372.0,2000-04-21 00:00:00
184,POLICE OFFICER,POLICE,$86130.0,2000-07-09 00:00:00
185,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-07-14 00:00:00
186,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-01-10 00:00:00
187,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,$93930.0,2000-07-24 00:00:00
188,POLICE OFFICER,POLICE,$78012.0,2000-07-17 00:00:00
189,BRIDGE OPERATOR,TRANSPORTN,$54876.0,2000-02-06 00:00:00
190,SERGEANT,POLICE,$105864.0,2000-09-20 00:00:00
191,POLICE OFFICER,POLICE,$78012.0,2000-11-27 00:00:00
192,SANITATION LABORER,STREETS & SAN,$70969.6,2000-03-12 00:00:00
193,SANITATION LABORER,STREETS & SAN,$70969.6,2000-04-09 00:00:00
194,POLICE OFFICER,POLICE,$61530.0,2000-03-24 00:00:00
195,POLICE OFFICER,POLICE,$43104.0,2000-04-28 00:00:00
196,FIREFIGHTER,FIRE,$50490.0,2000-08-07 00:00:00
197,FIREFIGHTER-EMT,FIRE,$79140.0,2000-12-10 00:00:00
198,ASST CORPORATION COUNSEL SUPVSR,LAW,$106416.0,2000-10-10 00:00:00
199,DISTRICT SUPVSR - GRAFFITI REMOVAL SERVICES,STREETS & SAN,$86352.0,2000-01-24 00:00:00
200,SANITATION LABORER,STREETS & SAN,$70969.6,2000-06-06 00:00:00
201,ANIMAL CARE AIDE I,ANIMAL CONTRL,$60600.0,2000-05-27 00:00:00
202,COORD OF SPECIAL PROJECTS,HEALTH,$84780.0,2000-11-24 00:00:00
203,SANITATION CLERK,STREETS & SAN,$66024.0,2000-07-16 00:00:00
204,PARAMEDIC,FIRE,$65016.0,2000-03-13 00:00:00
205,SANITATION LABORER,STREETS & SAN,$70969.6,2000-02-03 00:00:00
206,FIREFIGHTER,FIRE,$83982.0,2000-08-25 00:00:00
207,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-02-16 00:00:00
208,EDITORIAL ASST,CITY CLERK,$55212.0,2000-03-16 00:00:00
209,SERGEANT,POLICE,$99444.0,2000-12-06 00:00:00
210,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,$49236.0,2000-02-15 00:00:00
211,POLICE OFFICER,POLICE,$78012.0,2000-10-23 00:00:00
212,POLICE OFFICER,POLICE,$75372.0,2000-12-01 00:00:00
213,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,$63552.0,2000-08-13 00:00:00
214,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-11-27 00:00:00
215,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-12-17 00:00:00
216,SERGEANT,POLICE,$109278.0,2000-10-02 00:00:00
217,POLICE OFFICER,POLICE,$83706.0,2000-04-04 00:00:00
218,POLICE OFFICER,POLICE,$86130.0,2000-12-12 00:00:00
219,SANITATION LABORER,STREETS & SAN,$70969.6,2000-06-20 00:00:00
220,STREET LIGHT REPAIR WORKER,TRANSPORTN,$93288.0,2000-04-09 00:00:00
221,POLICE OFFICER,POLICE,$78012.0,2000-10-20 00:00:00
222,POLICE OFFICER,POLICE,$43104.0,2000-12-21 00:00:00
223,POLICE OFFICER,POLICE,$65016.0,2000-11-23 00:00:00
224,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-06-23 00:00:00
225,POLICE OFFICER,POLICE,$80724.0,2000-08-09 00:00:00
226,POLICE OFFICER,POLICE,$86130.0,2000-10-22 00:00:00
227,POLICE OFFICER,POLICE,$86130.0,2000-08-08 00:00:00
228,POLICE OFFICER,POLICE,$75372.0,2000-07-02 00:00:00
229,SANITATION LABORER,STREETS & SAN,$70969.6,2000-03-24 00:00:00
230,POLICE OFFICER,POLICE,$78012.0,2000-07-08 00:00:00
231,POLICE OFFICER,POLICE,$71748.0,2000-12-19 00:00:00
232,ADMINISTRATIVE SERVICES OFFICER II,TRANSPORTN,$88812.0,2000-03-09 00:00:00
233,POLICE OFFICER,POLICE,$71748.0,2000-12-28 00:00:00
234,CUSTODIAL WORKER,AVIATION,$34008.0,2000-05-19 00:00:00
235,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-12-07 00:00:00
236,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,$87918.0,2000-12-24 00:00:00
237,POLICE OFFICER,POLICE,$75372.0,2000-12-22 00:00:00
238,POLICE OFFICER,POLICE,$75372.0,2000-06-08 00:00:00
239,LINEMAN,TRANSPORTN,$93288.0,2000-05-27 00:00:00
240,POLICE OFFICER,POLICE,$83706.0,2000-06-08 00:00:00
241,PROGRAMMER/ANALYST,BUSINESS AFFAIRS,$83640.0,2000-02-28 00:00:00
242,LIBRARIAN I,PUBLIC LIBRARY,$69300.0,2000-05-18 00:00:00
243,POLICE OFFICER,POLICE,$80724.0,2000-10-13 00:00:00
244,FIRE ENGINEER-EMT,FIRE,$88632.0,2000-06-21 00:00:00
245,ALDERMANIC AIDE,CITY COUNCIL,$23400.0,2000-07-26 00:00:00
246,FIREFIGHTER,FIRE,$80724.0,2000-07-06 00:00:00
247,POLICE OFFICER,POLICE,$80724.0,2000-07-04 00:00:00
248,FIREFIGHTER,FIRE,$75372.0,2000-08-14 00:00:00
249,FIREFIGHTER,FIRE,$50490.0,2000-09-17 00:00:00
250,FIREFIGHTER-EMT,FIRE,$81906.0,2000-04-19 00:00:00
251,POLICE OFFICER,POLICE,$75372.0,2000-12-04 00:00:00
252,LABORER,AVIATION,$65249.6,2000-11-01 00:00:00
253,ASST CORPORATION COUNSEL,LAW,$61980.0,2000-06-26 00:00:00
254,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,$15215.2,2000-12-08 00:00:00
255,SR CERTIFICATION / COMPLIANCE OFFICER,PROCUREMENT,$63480.0,2000-06-11 00:00:00
256,CHIEF PROGRAMMER/ANALYST,WATER MGMNT,$110352.0,2000-06-07 00:00:00
257,PARKING ENFORCEMENT AIDE,FINANCE,$50400.0,2000-03-01 00:00:00
258,DEPUTY COMMISSIONER,AVIATION,$120444.0,2000-11-03 00:00:00
259,CRIMINAL HISTORY ANALYST,POLICE,$76428.0,2000-11-20 00:00:00
260,SENIOR RESEARCH ANALYST,COMMUNITY DEVELOPMENT,$76524.0,2000-05-14 00:00:00
261,DATA ENTRY OPERATOR,TRANSPORTN,$41784.0,2000-09-04 00:00:00
262,INTELLIGENCE ANALYST,OEMC,$52008.0,2000-05-06 00:00:00
263,LEGISLATIVE AIDE,CITY COUNCIL,$44004.0,2000-03-05 00:00:00
264,POLICE OFFICER,POLICE,$78012.0,2000-07-02 00:00:00
265,LIEUTENANT-EMT,FIRE,$108132.0,2000-07-13 00:00:00
266,PERSONAL COMPUTER OPERATOR I,POLICE,$45828.0,2000-12-05 00:00:00
267,PUBLIC HEALTH NURSE IV,HEALTH,$101076.0,2000-10-03 00:00:00
268,MEDICAL X-RAY TECHNOLOGIST,HEALTH,$57828.0,2000-09-18 00:00:00
269,POLICE OFFICER,POLICE,$80724.0,2000-10-10 00:00:00
270,POLICE OFFICER,POLICE,$78012.0,2000-06-11 00:00:00
271,POLICE OFFICER,POLICE,$43104.0,2000-12-20 00:00:00
272,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-11-27 00:00:00
273,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-03-16 00:00:00
274,DIR OF PUBLIC INFORMATION,BUDGET & MGMT,$82500.0,2000-09-23 00:00:00
275,PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION,$67872.0,2000-09-23 00:00:00
276,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,$87918.0,2000-12-15 00:00:00
277,EXECUTIVE SECRETARY I,LAW,$47904.0,2000-11-28 00:00:00
278,FIREFIGHTER-EMT,FIRE,$81906.0,2000-03-01 00:00:00
279,POLICE OFFICER,POLICE,$83706.0,2000-12-04 00:00:00
280,ASST CITY TREASURER,TREASURER,$85020.0,2000-11-02 00:00:00
281,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,$96262.4,2000-02-05 00:00:00
282,POLICE OFFICER,POLICE,$75372.0,2000-03-13 00:00:00
283,LAW CLERK,LAW,$25152.4,2000-06-28 00:00:00
284,POLICE OFFICER,POLICE,$86130.0,2000-07-08 00:00:00
285,POLICE OFFICER,POLICE,$78012.0,2000-07-24 00:00:00
286,SANITATION LABORER,STREETS & SAN,$70969.6,2000-03-08 00:00:00
287,POOL MOTOR TRUCK DRIVER,TRANSPORTN,$70408.0,2000-01-04 00:00:00
288,POLICE OFFICER,POLICE,$75372.0,2000-04-02 00:00:00
289,POLICE OFFICER,POLICE,$75372.0,2000-09-23 00:00:00
290,POLICE COMMUNICATIONS OPERATOR I,OEMC,$66552.0,2000-12-21 00:00:00
291,POLICE OFFICER,POLICE,$80724.0,2000-07-20 00:00:00
292,POLICE OFFICER,POLICE,$65016.0,2000-11-07 00:00:00
293,POLICE OFFICER,POLICE,$75372.0,2000-10-18 00:00:00
294,POLICE OFFICER,POLICE,$80724.0,2000-08-19 00:00:00
295,POLICE OFFICER,POLICE,$80724.0,2000-05-20 00:00:00
296,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,$72936.0,2000-08-26 00:00:00
297,SENIOR COMPANION,FAMILY & SUPPORT,$2756.0,2000-12-28 00:00:00
298,WATER CHEMIST IV,WATER MGMNT,$91224.0,2000-07-01 00:00:00
299,FIREFIGHTER,FIRE,$75372.0,2000-09-01 00:00:00
300,ACCOUNTANT II,FINANCE,$76524.0,2000-12-23 00:00:00
301,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-12-02 00:00:00
302,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-03-16 00:00:00
303,POLICE OFFICER,POLICE,$83706.0,2000-05-23 00:00:00
304,POLICE OFFICER,POLICE,$78012.0,2000-06-17 00:00:00
305,POLICE OFFICER,POLICE,$61530.0,2000-10-04 00:00:00
306,POLICE OFFICER,POLICE,$78012.0,2000-08-03 00:00:00
307,POLICE OFFICER,POLICE,$78012.0,2000-06-06 00:00:00
308,CUSTODIAL WORKER,AVIATION,$41537.6,2000-06-03 00:00:00
309,ADMINISTRATIVE ASST III,FIRE,$60600.0,2000-12-15 00:00:00
310,PUBLIC HEALTH NURSE I,HEALTH,$87372.0,2000-09-24 00:00:00
311,LOAN PROCESSING SPECIALIST,COMMUNITY DEVELOPMENT,$76428.0,2000-09-26 00:00:00
312,POLICE OFFICER,POLICE,$75372.0,2000-03-02 00:00:00
313,FIREFIGHTER,FIRE,$50490.0,2000-02-18 00:00:00
314,PUBLIC HEALTH NUTRITIONIST III,HEALTH,$67308.0,2000-06-08 00:00:00
315,POLICE OFFICER,POLICE,$83706.0,2000-12-11 00:00:00
316,FIREFIGHTER-EMT,FIRE,$81906.0,2000-02-09 00:00:00
317,COORDINATING FIRE COMMUNICATIONS OPERATOR,OEMC,$112008.0,2000-06-13 00:00:00
318,FIELD PAYROLL AUDITOR,FIRE,$79512.0,2000-06-13 00:00:00
319,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-05-10 00:00:00
320,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,$78000.0,2000-08-23 00:00:00
321,POLICE OFFICER,POLICE,$61530.0,2000-04-01 00:00:00
322,SANITATION LABORER,STREETS & SAN,$62608.0,2000-06-25 00:00:00
323,REVENUE INVESTIGATOR II,BUSINESS AFFAIRS,$79992.0,2000-02-26 00:00:00
324,FIREFIGHTER,FIRE,$83982.0,2000-07-24 00:00:00
325,EQUIPMENT DISPATCHER,GENERAL SERVICES,$71635.2,2000-04-03 00:00:00
326,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-02-16 00:00:00
327,POLICE OFFICER / FLD TRNG OFFICER,POLICE,$79170.0,2000-05-21 00:00:00
328,FIRE ENGINEER-EMT,FIRE,$91740.0,2000-08-15 00:00:00
329,DEPUTY COMMISSIONER,DISABILITIES,$96768.0,2000-11-10 00:00:00
330,POLICE OFFICER,POLICE,$78012.0,2000-09-17 00:00:00
331,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-11-11 00:00:00
